Vila,Area,Order,Seasonal Order,AIC,BIC,RMSE,SMAPE,Train (bln),Test (bln),Rank_BIC
Elina,Canggu,"(2, 1, 2)","(2, 1, 1, 4)",203.38,211.74,57.82,136.37,33,3,5
Elina,Canggu,"(2, 1, 0)","(2, 1, 1, 4)",206.92,213.19,55.26,110.92,33,3,6
Elina,Canggu,"(1, 1, 2)","(2, 1, 0, 4)",208.88,215.43,17.91,55.54,33,3,7
Elina,Canggu,"(1, 1, 1)","(2, 1, 0, 4)",211.62,217.07,27.6,79.24,33,3,8
Elina,Canggu,"(1, 1, 2)","(2, 1, 1, 4)",210.87,218.5,48.38,134.83,33,3,9
Elina,Canggu,"(1, 1, 1)","(2, 1, 1, 4)",213.47,220.02,46.31,130.63,33,3,10
Elina,Canggu,"(0, 1, 2)","(2, 1, 0, 4)",216.29,221.97,39.48,82.62,33,3,11
Elina,Canggu,"(0, 1, 2)","(2, 1, 1, 4)",218.28,225.09,48.39,133.98,33,3,12
Elina,Canggu,"(0, 1, 1)","(2, 1, 0, 4)",221.12,225.67,18.01,49.47,33,3,13
Elina,Canggu,"(0, 1, 2)","(0, 1, 1, 4)",223.48,228.19,36.18,65.42,33,3,14
Elina,Canggu,"(0, 1, 1)","(2, 1, 1, 4)",222.81,228.48,35.43,105.39,33,3,15
Elina,Canggu,"(1, 1, 0)","(2, 1, 0, 4)",224.18,228.55,19.5,45.92,33,3,16
Elina,Canggu,"(1, 1, 0)","(2, 1, 1, 4)",224.72,230.17,47.55,129.42,33,3,17
Elina,Canggu,"(1, 1, 2)","(0, 1, 1, 4)",224.71,230.6,15.42,51.01,33,3,18
Elina,Canggu,"(2, 1, 2)","(0, 1, 1, 4)",224.27,231.33,18.68,56.13,33,3,19
Elina,Canggu,"(0, 1, 2)","(1, 1, 1, 4)",225.48,231.37,36.18,65.42,33,3,20
Elina,Canggu,"(1, 1, 2)","(1, 1, 1, 4)",226.71,233.77,17.33,52.39,33,3,21
Elina,Canggu,"(2, 1, 2)","(1, 1, 1, 4)",226.26,234.51,18.68,56.12,33,3,22
Elina,Canggu,"(2, 1, 1)","(0, 1, 1, 4)",230.87,236.97,19.84,50.26,33,3,23
Elina,Canggu,"(0, 1, 1)","(0, 1, 1, 4)",233.62,237.28,18.01,53.56,33,3,24
Elina,Canggu,"(1, 1, 1)","(0, 1, 1, 4)",234.1,238.98,18.52,54.35,33,3,25
Elina,Canggu,"(2, 1, 1)","(1, 1, 1, 4)",232.87,240.18,19.84,50.27,33,3,26
Elina,Canggu,"(0, 1, 1)","(1, 1, 1, 4)",235.62,240.5,18.01,53.56,33,3,27
Elina,Canggu,"(0, 1, 0)","(2, 1, 0, 4)",238.08,241.48,18.49,60.0,33,3,28
Elina,Canggu,"(1, 1, 1)","(1, 1, 1, 4)",236.1,242.19,18.52,54.35,33,3,29
Elina,Canggu,"(0, 1, 0)","(2, 1, 1, 4)",238.24,242.78,27.55,83.5,33,3,30
Elina,Canggu,"(2, 1, 0)","(1, 1, 1, 4)",237.72,243.81,27.28,57.84,33,3,31
Elina,Canggu,"(2, 1, 1)","(1, 1, 0, 4)",238.33,244.43,24.42,62.25,33,3,32
Elina,Canggu,"(2, 1, 2)","(1, 1, 0, 4)",238.24,245.56,25.3,71.21,33,3,33
Elina,Canggu,"(2, 1, 0)","(1, 1, 0, 4)",240.78,245.65,30.85,75.19,33,3,34
Elina,Canggu,"(2, 1, 0)","(0, 1, 1, 4)",244.26,249.29,27.49,58.77,33,3,35
Elina,Canggu,"(1, 1, 1)","(1, 1, 0, 4)",248.47,253.5,20.3,52.9,33,3,36
Elina,Canggu,"(1, 1, 2)","(1, 1, 0, 4)",250.66,256.95,22.31,57.12,33,3,37
Elina,Canggu,"(1, 1, 0)","(0, 1, 1, 4)",256.17,259.94,20.37,56.92,33,3,38
Elina,Canggu,"(0, 1, 1)","(1, 1, 0, 4)",256.84,260.72,21.76,55.75,33,3,39
Elina,Canggu,"(0, 1, 2)","(1, 1, 0, 4)",256.45,261.63,19.9,51.95,33,3,40
Elina,Canggu,"(0, 1, 0)","(0, 1, 1, 4)",259.87,262.39,16.13,51.47,33,3,41
Elina,Canggu,"(1, 1, 0)","(1, 1, 1, 4)",258.15,263.18,20.33,56.86,33,3,42
Elina,Canggu,"(1, 1, 0)","(1, 1, 0, 4)",261.42,265.2,18.83,48.28,33,3,43
Elina,Canggu,"(0, 1, 0)","(1, 1, 1, 4)",261.87,265.65,16.14,51.49,33,3,44
Elina,Canggu,"(0, 1, 2)","(0, 1, 0, 4)",264.21,268.21,16.9,54.95,33,3,45
Elina,Canggu,"(2, 1, 2)","(0, 1, 0, 4)",261.66,268.32,25.2,65.76,33,3,46
Elina,Canggu,"(1, 1, 2)","(0, 1, 0, 4)",267.91,273.24,19.59,58.36,33,3,47
Elina,Canggu,"(0, 1, 1)","(0, 1, 0, 4)",274.3,277.03,17.33,55.73,33,3,48
Elina,Canggu,"(1, 1, 1)","(0, 1, 0, 4)",273.58,277.68,16.28,53.86,33,3,49
Elina,Canggu,"(0, 1, 0)","(1, 1, 0, 4)",275.14,277.73,24.66,59.53,33,3,50
Elina,Canggu,"(2, 1, 0)","(0, 1, 0, 4)",274.73,278.84,33.96,80.12,33,3,51
Elina,Canggu,"(2, 1, 1)","(0, 1, 0, 4)",273.93,279.4,24.85,61.59,33,3,52
Elina,Canggu,"(1, 1, 0)","(0, 1, 0, 4)",297.26,300.06,6.89,26.06,33,3,53
Elina,Canggu,"(0, 1, 0)","(0, 1, 0, 4)",306.74,308.14,25.89,71.02,33,3,54
Elina,Canggu,"(1, 1, 2)","(1, 1, 2, 4)",549.67,556.64,17.73,44.41,33,3,55
Elina,Canggu,"(1, 1, 2)","(0, 1, 2, 4)",632.97,638.94,32.82,200.0,33,3,56
Elina,Canggu,"(2, 1, 2)","(2, 1, 2, 4)",656.29,665.26,26.4,56.81,33,3,57
Elina,Canggu,"(2, 1, 2)","(1, 1, 2, 4)",670.5,678.46,27.46,58.07,33,3,58
Elina,Canggu,"(2, 1, 0)","(2, 1, 2, 4)",680.09,687.4,56.62,130.94,33,3,59
Elina,Canggu,"(2, 1, 2)","(0, 1, 2, 4)",729.19,736.16,49.89,124.77,33,3,60
Elina,Canggu,"(2, 1, 0)","(1, 1, 2, 4)",735.48,742.03,32.22,53.81,33,3,61
Elina,Canggu,"(2, 1, 1)","(2, 1, 2, 4)",759.44,767.8,57.28,134.39,33,3,62
Elina,Canggu,"(0, 1, 0)","(2, 1, 2, 4)",772.03,777.49,17.77,49.79,33,3,63
Elina,Canggu,"(0, 1, 2)","(2, 1, 2, 4)",774.99,781.96,49.57,134.76,33,3,64
Elina,Canggu,"(1, 1, 2)","(2, 1, 2, 4)",782.63,790.6,17.72,44.36,33,3,65
Elina,Canggu,"(0, 1, 2)","(1, 1, 2, 4)",792.7,798.67,36.1,64.12,33,3,66
Elina,Canggu,"(2, 1, 0)","(0, 1, 2, 4)",801.66,807.11,32.82,200.0,33,3,67
Elina,Canggu,"(0, 1, 1)","(2, 1, 2, 4)",819.22,825.49,18.15,44.99,33,3,68
Elina,Canggu,"(0, 1, 2)","(0, 1, 2, 4)",824.13,829.11,45.22,165.08,33,3,69
Elina,Canggu,"(1, 1, 1)","(2, 1, 2, 4)",833.7,841.01,52.23,134.97,33,3,70
Elina,Canggu,"(1, 1, 1)","(1, 1, 2, 4)",844.67,850.94,17.62,43.58,33,3,71
Elina,Canggu,"(2, 1, 1)","(1, 1, 2, 4)",846.67,853.99,19.52,50.66,33,3,72
Elina,Canggu,"(0, 1, 0)","(1, 1, 2, 4)",871.46,875.83,16.57,52.89,33,3,73
Elina,Canggu,"(0, 1, 1)","(1, 1, 2, 4)",875.05,880.27,17.46,45.88,33,3,74
Elina,Canggu,"(1, 1, 1)","(0, 1, 2, 4)",905.66,910.89,68.8,153.31,33,3,75
Elina,Canggu,"(2, 1, 1)","(0, 1, 2, 4)",907.66,913.93,68.8,153.31,33,3,76
Elina,Canggu,"(0, 1, 1)","(0, 1, 2, 4)",935.98,940.16,71.95,113.0,33,3,77
Elina,Canggu,"(1, 1, 0)","(2, 1, 2, 4)",967.84,974.38,55.48,134.71,33,3,78
Elina,Canggu,"(1, 1, 0)","(1, 1, 2, 4)",976.79,982.24,19.48,46.1,33,3,79
Elina,Canggu,"(1, 1, 0)","(0, 1, 2, 4)",1040.38,1044.74,32.82,200.0,33,3,80
Elina,Canggu,"(0, 1, 0)","(0, 1, 2, 4)",1053.18,1056.46,32.82,200.0,33,3,81
Esha,Seminyak,"(2, 0, 1)","(2, 1, 0, 4)",184.92,191.47,9.48,10.83,33,3,1
Esha,Seminyak,"(2, 0, 0)","(2, 1, 0, 4)",187.66,193.12,6.64,8.01,33,3,2
Esha,Seminyak,"(2, 0, 1)","(2, 1, 1, 4)",186.21,193.85,9.21,11.55,33,3,3
Esha,Seminyak,"(2, 0, 2)","(2, 1, 1, 4)",186.07,194.8,12.6,12.32,33,3,4
Esha,Seminyak,"(2, 0, 0)","(2, 1, 1, 4)",188.83,195.37,8.61,9.56,33,3,5
Esha,Seminyak,"(1, 0, 0)","(2, 1, 0, 4)",193.31,197.85,6.69,8.43,33,3,6
Esha,Seminyak,"(1, 0, 1)","(2, 1, 0, 4)",192.83,198.51,9.02,9.43,33,3,7
Esha,Seminyak,"(1, 0, 2)","(2, 1, 0, 4)",192.52,199.34,7.45,8.8,33,3,8
Esha,Seminyak,"(2, 0, 2)","(2, 1, 0, 4)",191.9,199.54,14.56,15.99,33,3,9
Esha,Seminyak,"(1, 0, 0)","(2, 1, 1, 4)",194.26,199.94,9.05,10.4,33,3,10
Esha,Seminyak,"(1, 0, 1)","(2, 1, 1, 4)",193.54,200.35,11.53,12.34,33,3,11
Esha,Seminyak,"(1, 0, 2)","(2, 1, 1, 4)",193.93,201.88,9.46,10.64,33,3,12
Esha,Seminyak,"(0, 0, 0)","(2, 1, 0, 4)",198.92,202.46,7.69,9.86,33,3,13
Esha,Seminyak,"(0, 0, 0)","(2, 1, 1, 4)",199.53,204.25,7.13,7.92,33,3,14
Esha,Seminyak,"(0, 0, 1)","(2, 1, 0, 4)",200.77,205.48,7.4,9.44,33,3,15
Esha,Seminyak,"(0, 0, 2)","(2, 1, 0, 4)",200.4,206.29,9.8,11.95,33,3,16
Esha,Seminyak,"(0, 0, 1)","(2, 1, 1, 4)",201.48,207.37,9.22,10.48,33,3,17
Esha,Seminyak,"(0, 0, 2)","(2, 1, 1, 4)",200.97,208.03,10.81,12.18,33,3,18
Esha,Seminyak,"(0, 0, 2)","(0, 1, 1, 4)",213.37,218.25,15.25,18.09,33,3,19
Esha,Seminyak,"(2, 0, 2)","(0, 1, 1, 4)",212.7,220.01,10.08,13.11,33,3,20
Esha,Seminyak,"(1, 0, 2)","(0, 1, 1, 4)",214.32,220.42,16.32,17.25,33,3,21
Esha,Seminyak,"(0, 0, 2)","(1, 1, 1, 4)",215.22,221.31,15.01,17.69,33,3,22
Esha,Seminyak,"(2, 0, 2)","(1, 1, 1, 4)",214.67,223.21,17.5,19.63,33,3,23
Esha,Seminyak,"(1, 0, 2)","(1, 1, 1, 4)",216.3,223.61,16.37,17.28,33,3,24
Esha,Seminyak,"(0, 0, 1)","(0, 1, 1, 4)",222.18,225.95,14.21,17.48,33,3,25
Esha,Seminyak,"(1, 0, 1)","(0, 1, 1, 4)",223.02,228.06,15.93,15.86,33,3,26
Esha,Seminyak,"(0, 0, 1)","(1, 1, 1, 4)",223.96,228.99,14.44,17.27,33,3,27
Esha,Seminyak,"(2, 0, 1)","(0, 1, 1, 4)",224.86,231.15,16.29,16.42,33,3,28
Esha,Seminyak,"(1, 0, 1)","(1, 1, 1, 4)",225.02,231.31,15.97,15.91,33,3,29
Esha,Seminyak,"(0, 0, 0)","(0, 1, 1, 4)",229.04,231.64,15.11,19.54,33,3,30
Esha,Seminyak,"(2, 0, 0)","(1, 1, 1, 4)",225.44,231.73,13.7,17.13,33,3,31
Esha,Seminyak,"(1, 0, 0)","(0, 1, 1, 4)",229.97,233.85,14.86,19.08,33,3,32
Esha,Seminyak,"(2, 0, 0)","(1, 1, 0, 4)",229.22,234.25,6.32,7.88,33,3,33
Esha,Seminyak,"(2, 0, 1)","(1, 1, 1, 4)",226.86,234.41,16.33,16.46,33,3,34
Esha,Seminyak,"(0, 0, 0)","(1, 1, 1, 4)",231.03,234.92,15.16,19.58,33,3,35
Esha,Seminyak,"(2, 0, 1)","(1, 1, 0, 4)",230.19,236.48,4.13,5.0,33,3,36
Esha,Seminyak,"(1, 0, 0)","(1, 1, 1, 4)",231.57,236.76,14.24,17.83,33,3,37
Esha,Seminyak,"(2, 0, 0)","(0, 1, 1, 4)",231.57,236.76,14.5,18.43,33,3,38
Esha,Seminyak,"(2, 0, 2)","(1, 1, 0, 4)",229.3,236.85,11.68,12.76,33,3,39
Esha,Seminyak,"(1, 0, 0)","(1, 1, 0, 4)",236.33,240.22,5.36,6.27,33,3,40
Esha,Seminyak,"(1, 0, 1)","(1, 1, 0, 4)",236.85,242.03,4.52,4.91,33,3,41
Esha,Seminyak,"(1, 0, 2)","(1, 1, 0, 4)",236.81,243.29,5.7,6.0,33,3,42
Esha,Seminyak,"(0, 0, 0)","(1, 1, 0, 4)",245.34,248.01,6.93,9.27,33,3,43
Esha,Seminyak,"(0, 0, 1)","(1, 1, 0, 4)",246.53,250.52,5.82,7.39,33,3,44
Esha,Seminyak,"(0, 0, 2)","(1, 1, 0, 4)",247.28,252.61,8.21,10.25,33,3,45
Esha,Seminyak,"(0, 0, 2)","(0, 1, 0, 4)",258.06,262.17,11.04,14.75,33,3,46
Esha,Seminyak,"(1, 0, 2)","(0, 1, 0, 4)",259.54,265.01,8.83,10.63,33,3,47
Esha,Seminyak,"(2, 0, 2)","(0, 1, 0, 4)",261.08,267.92,13.66,15.03,33,3,48
Esha,Seminyak,"(0, 0, 1)","(0, 1, 0, 4)",267.39,270.2,9.55,11.32,33,3,49
Esha,Seminyak,"(2, 0, 0)","(0, 1, 0, 4)",267.58,271.78,9.17,10.43,33,3,50
Esha,Seminyak,"(1, 0, 1)","(0, 1, 0, 4)",268.51,272.72,9.11,11.15,33,3,51
Esha,Seminyak,"(2, 0, 1)","(0, 1, 0, 4)",269.56,275.16,9.24,10.59,33,3,52
Esha,Seminyak,"(0, 0, 0)","(0, 1, 0, 4)",275.63,277.06,9.44,10.5,33,3,53
Esha,Seminyak,"(1, 0, 0)","(0, 1, 0, 4)",276.69,279.56,9.64,11.79,33,3,54
Esha,Seminyak,"(2, 0, 0)","(1, 1, 2, 4)",543.99,550.8,26.91,31.96,33,3,55
Esha,Seminyak,"(2, 0, 0)","(0, 1, 2, 4)",620.53,626.21,7.84,10.47,33,3,56
Esha,Seminyak,"(0, 0, 0)","(0, 1, 2, 4)",695.52,698.93,8.69,11.27,33,3,57
Esha,Seminyak,"(2, 0, 2)","(1, 1, 2, 4)",732.3,740.66,22.01,23.31,33,3,58
Esha,Seminyak,"(1, 0, 2)","(1, 1, 2, 4)",735.81,743.12,22.01,23.31,33,3,59
Esha,Seminyak,"(2, 0, 1)","(1, 1, 2, 4)",738.14,745.78,26.86,31.89,33,3,60
Esha,Seminyak,"(0, 0, 0)","(2, 1, 2, 4)",754.34,760.02,12.44,15.05,33,3,61
Esha,Seminyak,"(0, 0, 1)","(1, 1, 2, 4)",769.51,774.97,25.79,30.11,33,3,62
Esha,Seminyak,"(0, 0, 2)","(1, 1, 2, 4)",774.33,780.59,28.12,34.03,33,3,63
Esha,Seminyak,"(1, 0, 2)","(2, 1, 2, 4)",777.23,785.58,22.01,23.31,33,3,64
Esha,Seminyak,"(2, 0, 2)","(2, 1, 2, 4)",778.06,787.46,22.01,23.31,33,3,65
Esha,Seminyak,"(1, 0, 2)","(0, 1, 2, 4)",787.56,793.82,22.01,23.31,33,3,66
Esha,Seminyak,"(2, 0, 2)","(0, 1, 2, 4)",788.33,795.64,22.01,23.31,33,3,67
Esha,Seminyak,"(2, 0, 0)","(2, 1, 2, 4)",799.32,806.96,13.69,16.66,33,3,68
Esha,Seminyak,"(0, 0, 0)","(1, 1, 2, 4)",802.71,807.25,25.85,30.25,33,3,69
Esha,Seminyak,"(1, 0, 0)","(1, 1, 2, 4)",812.47,818.15,25.87,30.29,33,3,70
Esha,Seminyak,"(2, 0, 1)","(2, 1, 2, 4)",812.58,821.31,13.5,15.46,33,3,71
Esha,Seminyak,"(2, 0, 1)","(0, 1, 2, 4)",823.26,829.81,9.99,13.34,33,3,72
Esha,Seminyak,"(0, 0, 1)","(2, 1, 2, 4)",824.9,831.45,12.31,14.51,33,3,73
Esha,Seminyak,"(0, 0, 1)","(0, 1, 2, 4)",836.29,840.65,8.23,10.37,33,3,74
Esha,Seminyak,"(0, 0, 2)","(2, 1, 2, 4)",837.01,844.33,14.85,17.34,33,3,75
Esha,Seminyak,"(1, 0, 1)","(1, 1, 2, 4)",842.86,849.4,25.92,30.35,33,3,76
Esha,Seminyak,"(0, 0, 2)","(0, 1, 2, 4)",846.87,852.09,9.78,12.95,33,3,77
Esha,Seminyak,"(1, 0, 0)","(2, 1, 2, 4)",870.18,876.99,12.5,14.54,33,3,78
Esha,Seminyak,"(1, 0, 0)","(0, 1, 2, 4)",881.38,885.92,7.88,9.89,33,3,79
Esha,Seminyak,"(1, 0, 1)","(2, 1, 2, 4)",939.67,947.31,12.46,15.14,33,3,80
Esha,Seminyak,"(1, 0, 1)","(0, 1, 2, 4)",950.26,955.71,7.58,9.6,33,3,81
Isola,Canggu,"(0, 1, 2)","(1, 1, 2, 5)",160.5,165.5,17.51,19.24,33,3,1
Isola,Canggu,"(0, 1, 2)","(0, 1, 2, 5)",162.81,166.97,22.43,27.12,33,3,2
Isola,Canggu,"(0, 1, 2)","(2, 1, 2, 5)",161.22,167.05,17.41,18.5,33,3,3
Isola,Canggu,"(2, 1, 2)","(1, 1, 2, 5)",162.8,169.46,18.61,21.01,33,3,4
Isola,Canggu,"(1, 1, 2)","(0, 1, 2, 5)",165.32,170.32,25.51,29.1,33,3,5
Isola,Canggu,"(1, 1, 2)","(2, 1, 2, 5)",164.05,170.72,16.43,20.69,33,3,6
Isola,Canggu,"(2, 1, 2)","(2, 1, 2, 5)",164.07,171.57,19.7,21.7,33,3,7
Isola,Canggu,"(2, 1, 2)","(0, 1, 2, 5)",167.28,173.12,26.77,33.93,33,3,8
Isola,Canggu,"(1, 1, 2)","(1, 1, 2, 5)",167.31,173.14,23.64,27.66,33,3,9
Isola,Canggu,"(0, 1, 1)","(0, 1, 2, 5)",169.63,173.19,22.98,26.77,33,3,10
Isola,Canggu,"(0, 1, 1)","(2, 1, 2, 5)",168.18,173.52,14.6,17.04,33,3,11
Isola,Canggu,"(2, 1, 0)","(2, 1, 1, 5)",169.02,174.36,16.66,16.59,33,3,12
Isola,Canggu,"(2, 1, 1)","(2, 1, 1, 5)",169.47,175.7,14.95,15.82,33,3,13
Isola,Canggu,"(1, 1, 1)","(2, 1, 2, 5)",169.69,175.92,13.97,15.62,33,3,14
Isola,Canggu,"(0, 1, 1)","(1, 1, 2, 5)",171.57,176.03,21.87,26.37,33,3,15
Isola,Canggu,"(1, 1, 1)","(0, 1, 2, 5)",171.62,176.07,22.98,26.7,33,3,16
Isola,Canggu,"(2, 1, 0)","(2, 1, 0, 5)",171.82,176.27,26.94,32.89,33,3,17
Isola,Canggu,"(2, 1, 1)","(2, 1, 0, 5)",171.63,176.97,25.23,32.82,33,3,18
Isola,Canggu,"(2, 1, 0)","(2, 1, 2, 5)",170.88,177.11,19.16,19.67,33,3,19
Isola,Canggu,"(2, 1, 2)","(2, 1, 0, 5)",171.71,177.94,24.91,26.01,33,3,20
Isola,Canggu,"(2, 1, 2)","(2, 1, 1, 5)",171.06,178.19,19.41,18.82,33,3,21
Isola,Canggu,"(2, 1, 1)","(2, 1, 2, 5)",171.36,178.48,13.91,13.59,33,3,22
Isola,Canggu,"(2, 1, 1)","(0, 1, 2, 5)",173.41,178.76,36.48,48.78,33,3,23
Isola,Canggu,"(1, 1, 1)","(1, 1, 2, 5)",173.52,178.86,22.06,28.33,33,3,24
Isola,Canggu,"(2, 1, 1)","(1, 1, 2, 5)",175.39,181.63,36.46,48.75,33,3,25
Isola,Canggu,"(1, 1, 0)","(2, 1, 1, 5)",176.97,181.69,22.71,27.06,33,3,26
Isola,Canggu,"(1, 1, 1)","(2, 1, 1, 5)",176.24,181.91,13.8,16.93,33,3,27
Isola,Canggu,"(1, 1, 1)","(2, 1, 0, 5)",178.93,183.65,21.25,25.61,33,3,28
Isola,Canggu,"(1, 1, 0)","(2, 1, 2, 5)",178.35,184.01,25.09,27.71,33,3,29
Isola,Canggu,"(0, 1, 0)","(2, 1, 2, 5)",179.36,184.08,23.06,28.44,33,3,30
Isola,Canggu,"(1, 1, 2)","(2, 1, 1, 5)",177.79,184.4,13.81,16.92,33,3,31
Isola,Canggu,"(1, 1, 0)","(2, 1, 0, 5)",181.27,185.05,32.44,44.19,33,3,32
Isola,Canggu,"(1, 1, 0)","(0, 1, 2, 5)",182.21,185.99,44.12,68.8,33,3,33
Isola,Canggu,"(1, 1, 2)","(2, 1, 0, 5)",180.36,186.03,25.02,27.09,33,3,34
Isola,Canggu,"(0, 1, 0)","(0, 1, 2, 5)",183.53,186.36,40.2,58.09,33,3,35
Isola,Canggu,"(2, 1, 0)","(0, 1, 2, 5)",182.47,187.19,44.31,69.34,33,3,36
Isola,Canggu,"(1, 1, 0)","(1, 1, 2, 5)",183.76,188.49,44.09,68.72,33,3,37
Isola,Canggu,"(0, 1, 1)","(2, 1, 1, 5)",183.65,188.63,12.85,15.72,33,3,38
Isola,Canggu,"(0, 1, 0)","(1, 1, 2, 5)",185.48,189.26,40.85,58.9,33,3,39
Isola,Canggu,"(2, 1, 0)","(1, 1, 2, 5)",183.68,189.35,44.29,69.29,33,3,40
Isola,Canggu,"(0, 1, 1)","(2, 1, 0, 5)",185.8,189.78,19.54,21.73,33,3,41
Isola,Canggu,"(0, 1, 0)","(2, 1, 1, 5)",187.94,191.92,21.07,26.12,33,3,42
Isola,Canggu,"(0, 1, 2)","(2, 1, 0, 5)",187.66,192.64,19.93,23.22,33,3,43
Isola,Canggu,"(0, 1, 2)","(2, 1, 1, 5)",187.64,193.62,13.45,16.46,33,3,44
Isola,Canggu,"(0, 1, 0)","(2, 1, 0, 5)",191.67,194.65,33.48,48.23,33,3,45
Isola,Canggu,"(0, 1, 2)","(0, 1, 1, 5)",203.83,208.19,17.11,19.91,33,3,46
Isola,Canggu,"(1, 1, 2)","(0, 1, 1, 5)",204.43,209.89,16.06,18.22,33,3,47
Isola,Canggu,"(2, 1, 2)","(0, 1, 1, 5)",204.69,211.23,10.81,13.6,33,3,48
Isola,Canggu,"(0, 1, 2)","(1, 1, 1, 5)",205.83,211.28,23.11,26.69,33,3,49
Isola,Canggu,"(0, 1, 1)","(0, 1, 1, 5)",208.68,212.09,14.21,15.67,33,3,50
Isola,Canggu,"(1, 1, 2)","(1, 1, 1, 5)",206.43,212.98,16.06,18.22,33,3,51
Isola,Canggu,"(2, 1, 2)","(1, 1, 1, 5)",206.69,214.32,10.81,13.6,33,3,52
Isola,Canggu,"(1, 1, 1)","(0, 1, 1, 5)",210.39,214.93,13.16,14.45,33,3,53
Isola,Canggu,"(0, 1, 1)","(1, 1, 1, 5)",210.68,215.23,14.21,15.67,33,3,54
Isola,Canggu,"(2, 1, 1)","(0, 1, 1, 5)",211.9,217.57,11.2,12.93,33,3,55
Isola,Canggu,"(1, 1, 1)","(1, 1, 1, 5)",212.39,218.07,13.16,14.45,33,3,56
Isola,Canggu,"(2, 1, 0)","(1, 1, 1, 5)",213.41,219.09,27.29,31.23,33,3,57
Isola,Canggu,"(2, 1, 0)","(1, 1, 0, 5)",215.77,220.31,23.55,26.87,33,3,58
Isola,Canggu,"(2, 1, 1)","(1, 1, 0, 5)",215.04,220.72,22.55,26.15,33,3,59
Isola,Canggu,"(2, 1, 1)","(1, 1, 1, 5)",214.38,221.19,13.13,14.39,33,3,60
Isola,Canggu,"(1, 1, 0)","(0, 1, 1, 5)",219.83,223.36,19.56,23.5,33,3,61
Isola,Canggu,"(2, 1, 0)","(0, 1, 1, 5)",219.61,224.32,15.08,17.64,33,3,62
Isola,Canggu,"(2, 1, 2)","(1, 1, 0, 5)",217.78,224.6,19.61,22.6,33,3,63
Isola,Canggu,"(0, 1, 0)","(0, 1, 1, 5)",222.8,225.16,27.64,35.93,33,3,64
Isola,Canggu,"(1, 1, 0)","(1, 1, 1, 5)",221.83,226.54,30.15,37.95,33,3,65
Isola,Canggu,"(1, 1, 1)","(1, 1, 0, 5)",221.99,226.7,19.62,22.51,33,3,66
Isola,Canggu,"(1, 1, 0)","(1, 1, 0, 5)",224.65,228.18,26.78,31.73,33,3,67
Isola,Canggu,"(0, 1, 0)","(1, 1, 1, 5)",224.8,228.33,27.63,35.91,33,3,68
Isola,Canggu,"(1, 1, 2)","(1, 1, 0, 5)",223.08,228.97,17.69,20.54,33,3,69
Isola,Canggu,"(0, 1, 1)","(1, 1, 0, 5)",229.21,232.87,19.42,22.49,33,3,70
Isola,Canggu,"(0, 1, 2)","(1, 1, 0, 5)",230.93,235.8,19.34,22.43,33,3,71
Isola,Canggu,"(0, 1, 0)","(1, 1, 0, 5)",237.12,239.55,33.83,47.11,33,3,72
Isola,Canggu,"(0, 1, 2)","(0, 1, 0, 5)",254.12,258.01,26.83,33.89,33,3,73
Isola,Canggu,"(1, 1, 2)","(0, 1, 0, 5)",255.92,261.1,27.38,34.62,33,3,74
Isola,Canggu,"(2, 1, 2)","(0, 1, 0, 5)",257.06,263.54,27.42,34.76,33,3,75
Isola,Canggu,"(0, 1, 1)","(0, 1, 0, 5)",266.06,268.73,30.06,36.1,33,3,76
Isola,Canggu,"(1, 1, 1)","(0, 1, 0, 5)",266.08,270.08,27.13,33.69,33,3,77
Isola,Canggu,"(2, 1, 0)","(0, 1, 0, 5)",268.66,272.66,31.15,38.36,33,3,78
Isola,Canggu,"(2, 1, 1)","(0, 1, 0, 5)",268.04,273.37,27.4,34.6,33,3,79
Isola,Canggu,"(0, 1, 0)","(0, 1, 0, 5)",277.38,278.74,36.01,51.47,33,3,80
Isola,Canggu,"(1, 1, 0)","(0, 1, 0, 5)",276.88,279.62,33.59,45.46,33,3,81
Ozamiz,Seminyak,"(0, 0, 2)","(0, 1, 2, 6)",132.67,136.21,21.11,30.07,33,3,1
Ozamiz,Seminyak,"(2, 0, 2)","(0, 1, 2, 6)",132.67,137.62,21.4,27.94,33,3,2
Ozamiz,Seminyak,"(1, 0, 2)","(0, 1, 2, 6)",133.53,137.78,20.66,29.36,33,3,3
Ozamiz,Seminyak,"(0, 0, 2)","(1, 1, 2, 6)",133.97,138.22,20.75,28.94,33,3,4
Ozamiz,Seminyak,"(2, 0, 2)","(1, 1, 2, 6)",133.57,139.24,21.64,29.86,33,3,5
Ozamiz,Seminyak,"(1, 0, 2)","(1, 1, 2, 6)",135.53,140.49,20.38,28.24,33,3,6
Ozamiz,Seminyak,"(0, 0, 2)","(2, 1, 2, 6)",136.49,141.44,21.33,30.52,33,3,7
Ozamiz,Seminyak,"(1, 0, 2)","(2, 1, 2, 6)",137.65,143.31,20.43,28.47,33,3,8
Ozamiz,Seminyak,"(2, 0, 2)","(2, 1, 2, 6)",137.83,144.2,20.28,26.21,33,3,9
Ozamiz,Seminyak,"(0, 0, 1)","(0, 1, 2, 6)",141.78,144.87,23.67,36.81,33,3,10
Ozamiz,Seminyak,"(1, 0, 1)","(0, 1, 2, 6)",142.13,145.99,22.8,34.93,33,3,11
Ozamiz,Seminyak,"(0, 0, 1)","(1, 1, 2, 6)",142.14,146.0,20.26,25.48,33,3,12
