,,Bulan,Aktual y_i (%),Prediksi ŷ_i (%),Error (y_i − ŷ_i),Error²,|Error/y_i|×100%
Castello — Train,30,RMSE,—,—,—,sqrt(1/29 * 18634.5663) = sqrt642.5713 = 25.35%,—
Castello — Train,31,MAPE,—,—,—,—,1/29 * 1168.72 = 40.30%
Elina — Test,0,Jun 2025,26.67,27.27,-0.5985,0.3582,2.24
Elina — Test,1,Jul 2025,48.39,68.92,-20.53,421.4814,42.43
Elina — Test,2,Aug 2025,48.39,0.0,48.3871,2341.3111,100.0
Elina — Test,3,Sep 2025,26.67,20.59,6.0765,36.9236,22.79
Elina — Test,4,Oct 2025,9.68,100.0,-90.3226,8158.1686,933.33
Elina — Test,5,Nov 2025,43.33,4.39,38.9386,1516.2182,89.86
Elina — Test,6,Dec 2025,35.48,0.0,35.4839,1259.1051,100.0
Elina — Test,7,Jumlah,—,—,—,13733.5663,1290.65%
Elina — Test,8,RMSE,—,—,—,sqrt(1/7 * 13733.5663) = sqrt1961.9380 = 44.29%,—
Elina — Test,9,MAPE,—,—,—,—,1/7 * 1290.65 = 184.38%
Elina — Train,0,Jan 2023,6.45,0.0,6.4516,41.6233,100.0
Elina — Train,1,Feb 2023,0.0,3.41,-3.4142,11.6567,
Elina — Train,2,Mar 2023,0.0,4.48,-4.4798,20.0688,
Elina — Train,3,Apr 2023,0.0,2.37,-2.3678,5.6064,
Elina — Train,4,May 2023,0.0,0.63,-0.6338,0.4017,
Elina — Train,5,Jun 2023,6.67,0.0,6.6667,44.4444,100.0
Elina — Train,6,Jul 2023,3.23,0.0,3.2258,10.4058,100.0
Elina — Train,7,Aug 2023,0.0,0.0,0.0,0.0,
Elina — Train,8,Sep 2023,0.0,2.37,-2.3727,5.6297,
Elina — Train,9,Oct 2023,0.0,8.95,-8.9549,80.191,
Elina — Train,10,Nov 2023,0.0,4.54,-4.5444,20.6516,
Elina — Train,11,Dec 2023,12.9,0.0,12.9032,166.4932,100.0
Elina — Train,12,Jan 2024,9.68,9.39,0.2898,0.084,2.99
Elina — Train,13,Feb 2024,0.0,3.19,-3.1949,10.2076,
Elina — Train,14,Mar 2024,29.03,3.12,25.9113,671.3932,89.25
Elina — Train,15,Apr 2024,0.0,0.0,0.0,0.0,
Elina — Train,16,May 2024,6.45,30.28,-23.8305,567.8907,369.37
Elina — Train,17,Jun 2024,63.33,56.32,7.0135,49.1894,11.07
Elina — Train,18,Jul 2024,0.0,0.0,0.0,0.0,
Elina — Train,19,Aug 2024,0.0,6.13,-6.132,37.6009,
Elina — Train,20,Sep 2024,13.33,35.41,-22.0776,487.4201,165.58
Elina — Train,21,Oct 2024,32.26,33.2,-0.9396,0.8828,2.91
Elina — Train,22,Nov 2024,13.33,0.0,13.3333,177.7778,100.0
Elina — Train,23,Dec 2024,16.13,0.7,15.4325,238.1616,95.68
Elina — Train,24,Jan 2025,22.58,13.18,9.3964,88.2921,41.61
Elina — Train,25,Feb 2025,0.0,0.0,0.0,0.0,
Elina — Train,26,Mar 2025,0.0,14.0,-13.9953,195.8681,
Elina — Train,27,Apr 2025,80.0,73.64,6.3646,40.5085,7.96
Elina — Train,28,May 2025,12.9,11.0,1.8994,3.6076,14.72
Elina — Train,29,Jumlah,—,—,—,2976.0571,1301.16%
