Vila,"Model (p,d,q)","Seasonal (P,D,Q,S)",Order String,AIC,BIC,MAPE (%),RMSE,MAE,Shrinkage Alpha,WF Iterations,Rating,Fit Time,Source
Briana Villas,"(1, 1, 1)","(0, 0, 1, 7)","(1,1,1)×(0,0,1)7",10259.87,10279.83,0.26,0.27,0.26,0.1,90,Sangat Baik ✨,60.63s,engine_methodology
Castello Villas,"(1, 1, 2)","(0, 0, 0, 7)","(1,1,2)×(0,0,0)7",9383.77,9403.76,2.31,18.07,4.47,0.1,90,Sangat Baik ✨,24.04s,engine_methodology
Elina Villas,"(0, 1, 3)","(1, 0, 1, 7)","(0,1,3)×(1,0,1)7",10280.6,10310.54,18.59,39.34,21.72,0.4219,90,Cukup 👌,52.84s,engine_methodology
Isola Villas,"(3, 1, 2)","(0, 0, 0, 7)","(3,1,2)×(0,0,0)7",10543.96,10573.94,5.46,18.84,7.89,0.1091,90,Baik 👍,36.44s,engine_methodology
Eindra Villas,"(1, 1, 1)","(0, 0, 0, 7)","(1,1,1)×(0,0,0)7",9475.01,9490.0,1.39,13.84,3.37,0.1,90,Sangat Baik ✨,18.81s,engine_methodology
Esha Villas,"(2, 1, 2)","(0, 0, 0, 7)","(2,1,2)×(0,0,0)7",10260.86,10285.84,6.35,25.23,11.03,0.127,90,Baik 👍,33.69s,engine_methodology
Ozamiz Villas,"(2, 0, 0)","(2, 0, 0, 7)","(2,0,0)×(2,0,0)7",9006.14,9031.07,1.33,1.33,1.33,0.1,90,Sangat Baik ✨,40.09s,engine_methodology
