Vila,"Model (p,d,q)","Seasonal (P,D,Q,S)",Order String,AIC,MAPE (%),RMSE,MAE,WF Iterations,WF Success Rate,Rating,Fit Time,Source
Briana Villas,"(1, 1, 1)","(0, 0, 1, 7)","(1,1,1)×(0,0,1)7",10259.87,0.26,0.27,0.26,90,100.0%,Sangat Baik ✨,58.26s,auto_arima+wfv
Castello Villas,"(1, 1, 2)","(2, 0, 1, 7)","(1,1,2)×(2,0,1)7",9283.4,2.86,18.07,4.99,90,100.0%,Sangat Baik ✨,91.27s,auto_arima+wfv
Elina Villas,"(0, 1, 3)","(1, 0, 1, 7)","(0,1,3)×(1,0,1)7",10280.6,18.59,39.34,21.72,90,100.0%,Cukup 👌,51.73s,auto_arima+wfv
Isola Villas,"(3, 1, 2)","(2, 0, 1, 7)","(3,1,2)×(2,0,1)7",10424.95,5.56,18.92,7.99,90,100.0%,Baik 👍,139.79s,auto_arima+wfv
Eindra Villas,"(1, 1, 1)","(0, 0, 0, 7)","(1,1,1)×(0,0,0)7",9475.01,1.39,13.84,3.37,90,100.0%,Sangat Baik ✨,15.31s,auto_arima+wfv
Esha Villas,"(2, 1, 2)","(0, 0, 0, 7)","(2,1,2)×(0,0,0)7",10260.86,6.35,25.23,11.03,90,100.0%,Baik 👍,37.92s,auto_arima+wfv
Ozamiz Villas,"(2, 0, 0)","(2, 0, 0, 7)","(2,0,0)×(2,0,0)7",9006.14,1.33,1.33,1.33,90,100.0%,Sangat Baik ✨,36.50s,auto_arima+wfv
