Vila,Lokasi,N (hari),Occ Std,ADR Std (juta),Pearson r,p-value,Spearman ρ,Interpretasi
Briana Villas,Canggu,1096,46.05,1.18,0.8614,0.0,0.8022,Korelasi positif kuat
Castello Villas,Canggu,1096,49.78,0.92,0.915,0.0,0.922,Korelasi positif sangat kuat
Elina Villas,Canggu,1096,36.48,1.79,0.7936,0.0,0.8241,Korelasi positif kuat
Isola Villas,Canggu,1096,49.49,0.74,0.9165,0.0,0.886,Korelasi positif sangat kuat
Eindra Villas,Seminyak,1096,45.85,3.09,0.8901,0.0,0.7982,Korelasi positif kuat
Esha Villas,Seminyak,1096,47.37,1.87,0.9069,0.0,0.8326,Korelasi positif sangat kuat
Ozamiz Villas,Seminyak,1096,47.02,2.17,0.8333,0.0,0.818,Korelasi positif kuat
