Vila,Lokasi,N Hari Total,N Hari Terisi,% Terisi,ADR Mean (juta),ADR Median (juta),ADR Std (juta),ADR Min (juta),ADR Max (juta)
Briana Villas,Canggu,1096,965,88.0%,1.74,1.9,1.1,0.0,5.71
Castello Villas,Canggu,1096,729,66.5%,1.15,1.36,0.91,0.0,3.92
Elina Villas,Canggu,1096,379,34.6%,2.13,1.32,2.5,-1.23,7.5
Isola Villas,Canggu,1096,664,60.6%,1.3,1.33,0.49,0.0,2.79
Eindra Villas,Seminyak,1096,1031,94.1%,4.46,5.28,2.99,0.0,11.27
Esha Villas,Seminyak,1096,956,87.2%,2.71,3.22,1.75,0.0,7.46
Ozamiz Villas,Seminyak,1096,1060,96.7%,2.67,3.3,2.16,0.0,7.94
