Vila,Mean Residual,Std Residual,Skewness,Kurtosis,Jarque-Bera Stat,JB p-value,Ljung-Box Stat,LB p-value,Durbin-Watson
Briana Villas,0.6309,27.0904,-1.4841,5.2034,1625.33,0.0000,5.04,0.8887,1.9854
Castello Villas,0.4058,17.4294,-1.2898,18.3668,15573.40,0.0000,40.10,0.0000,1.9995
Elina Villas,0.0305,27.4715,0.1055,7.6393,2641.48,0.0000,30.59,0.0007,1.9453
Isola Villas,0.9128,29.6854,-0.8978,3.9381,847.44,0.0000,4.06,0.9448,1.9989
Eindra Villas,0.8161,18.5977,-1.9597,16.3762,12838.79,0.0000,5.32,0.8690,1.9738
Esha Villas,0.0307,26.4484,-1.3431,5.8844,1894.33,0.0000,3.94,0.9500,1.9827
Ozamiz Villas,-0.0034,14.2263,-3.5370,31.0303,45877.54,0.0000,24.86,0.0056,1.9967
