Vila,Lokasi,Total Baris,Missing Date,Missing ADR,Duplikasi,Hari Ada Revenue,Hari Zero Revenue,ADR Min (IDR),ADR Max (IDR),ADR Mean (IDR)
Briana Villas,Canggu,1096,0,0,0,755,341,120,"5,708,000","2,222,341"
Castello Villas,Canggu,1096,0,0,0,479,617,"673,675","3,916,666","1,744,571"
Elina Villas,Canggu,1096,0,0,0,210,851,"576,533","7,500,000","4,010,204"
Isola Villas,Canggu,1096,0,0,0,624,472,"536,633","2,790,000","1,386,202"
Eindra Villas,Seminyak,1096,0,0,0,760,336,319,"11,266,726","6,049,728"
Esha Villas,Seminyak,1096,0,0,0,720,376,350,"7,457,332","3,595,948"
Ozamiz Villas,Seminyak,1096,0,0,0,724,372,214,"7,935,000","3,911,213"
